風の谷の名無しさん＠実況は実況板で <small></small> </b>(ﾜｯﾁｮｲ 3bd5-maOp)<b><>sage<>2018/11/15(木) 22:29:06.46 ID:O7GWOFfk0<> !extend:checked:vvvvv:1000:512 <br> !extend:checked:vvvvv:1000:512 <br> ↑冒頭にコレを二行以上重ねてスレ立てしておく <br>  <br> 私たち、生きたい。 <br> ―――――――――――――――――――――――――――――――― <br> ・荒らし、煽りは徹底放置。→削除依頼：http://qb5.5ch.net/saku/ <br> ・法律に違反する画像や投稿動画の話題、URL貼りは厳禁。 <br> ・sage進行推奨。メール欄に半角小文字で「sage」と記入。 <br> ・次スレは<a href="../test/read.cgi/anime/1542288546/950" rel="noopener noreferrer" target="_blank">&gt;&gt;950</a>が宣言してから立てる事。無理ならば代理人を指名する事。放送日は<a href="../test/read.cgi/anime/1542288546/900" rel="noopener noreferrer" target="_blank">&gt;&gt;900</a>推奨 <br> ―――――――――――――――――――――――――――――――― <br> ●放送＆配信情報 <br> AbemaTV：2018年10月4日（木）より毎週木曜日 23:30～ <br> AT-X：2018年10月4日（木）より毎週木曜日 23:30～ <br> TOKYO MX：2018年10月4日（木）より毎週木曜日 24:00～ <br> サンテレビ：2018年10月4日（木）より毎週木曜日 24:00～ <br> BS11：2018年10月4日（木）より毎週木曜日 24:30～ <br> サガテレビ：2018年10月5日（金）より毎週金曜日 25:25～ <br> TVQ九州放送：2018年10月5日（金）より毎週金曜日 26:58～ <br>  <br> ●関連サイト <br> 公式サイト：http://zombielandsaga.com/ <br> 公式Twitter：http://twitter.com/zombielandsaga <br>  <br> ●前スレ <br> ゾンビランドサガ　ゾンビィ48号  <br> https://rosie.5ch.net/test/read.cgi/anime/1542250141/ <br>  <br> どやんす～ <hr>VIPQ2_EXTDAT: checked:vvvvv:1000:512:----: EXT was configured <br> https://twitter.com/5chan_nel (5ch newer account) <>ゾンビランドサガ　ゾンビィ49号 	
風の谷の名無しさん＠実況は実況板で </b>(ﾜｯﾁｮｲ 41d5-maOp)<b><>sage<>2018/11/15(木) 22:30:34.60 ID:O7GWOFfk0<> ○スタッフ <br> 原作：広報広聴課ゾンビ係 <br> 監督：境 宗久 <br> シリーズ構成：村越 繁 <br> キャラクターデザイン：深川 可純 <br> 美術監督：小倉 一男 <br> 撮影監督：柳田 貴志 <br> 色彩設計：佐々木 梓　 <br> 編集：後藤 正浩 <br> 音楽：高梨 康治 <br> 音楽制作：エイベックス・ピクチャーズ <br> 音響監督：境 宗久 <br> 音響制作：dugout <br> アニメーション制作：MAPPA <br>  <br> ○キャスト <br> 巽 幸太郎：宮野 真守 <br> 源 さくら：本渡 楓 <br> 二階堂 サキ：田野 アサミ <br> 水野 愛：種田 梨沙 <br> 紺野 純子：河瀬 茉希　 <br> ゆうぎり：衣川 里佳 <br> 星川 リリィ：田中 美海 <br> 山田 たえ：三石 琴乃　 <br> 警察官Ａ：吉野 裕行 <br> ロメロ：高戸 靖広 <br>  <br> ぶっ殺すぞ！ <>
風の谷の名無しさん＠実況は実況板で </b>(ﾜｯﾁｮｲ 41d5-maOp)<b><>sage<>2018/11/15(木) 22:32:20.23 ID:O7GWOFfk0<> ☆TVアニメ「ゾンビランドサガ」OPテーマ『徒花ネクロマンシー』 <br> https://www.you tube.com/watch?v=yDXVqicnWeo <br> ☆TVアニメ「ゾンビランドサガ」EDテーマ『光へ』 <br> https://www.you tube.com/watch?v=Yny1Z5v7A2c <br> ☆TVアニメ「ゾンビランドサガ」挿入歌テーマ『FANTASTIC LOVERS』 <br> https://www.you tube.com/watch?v=cU2mTOgz9pA <br> ※youtubeのリンクはNGワードにあたる為、スペースを挿入しています <br>  <br> ◇関連スレ <br> ゾンビランドサガ百合カップリングスレ <br> https://mao.5ch.net/test/read.cgi/anichara/1541691399/ <br>  <br> ◇キャラスレ <br> 【ゾンビランドサガ】源さくらは轢死してゾンビになってもかわいい <br> http://matsuri.5ch.net/test/read.cgi/anichara2/1538722472/ <br> 【ゾンビランドサガ】二階堂サキはたまごっちカワイイ <br> https://matsuri.5ch.net/test/read.cgi/anichara2/1540569965/ <br> 【ゾンビランドサガ】水野愛は伝説の平成のアイドルかわいい <br> http://matsuri.5ch.net/test/read.cgi/anichara2/1539404511/ <br> 【ゾンビランドサガ】紺野純子は昭和アイドルかわいい ﾔﾒﾃｸﾀﾞｻ1 <br> http://matsuri.5ch.net/test/read.cgi/anichara2/1539694067/ <br> 【ゾンビランドサガ】ゆうぎりは花魁カワイイ <br> http://matsuri.5ch.net/test/read.cgi/anichara2/1540894711/ <br> 【ゾンビランドサガ】星川リリィは天才子役かわいい <br> https://matsuri.5ch.net/test/read.cgi/anichara2/1541226618/ <br> 【ゾンビランドサガ】山田たえちゃんはゾンビ可愛い <br> http://matsuri.5ch.net/test/read.cgi/anichara2/1539687196/ <br>  <br> ◇コミカライズ <br> https://cycomi.com/fw/cycomibrowser/chapter/title/95 <br>  <br> 可愛いでありんす <>
風の谷の名無しさん＠実況は実況板で </b>(ﾜｯﾁｮｲ 41d5-maOp)<b><>sage<>2018/11/15(木) 22:33:33.14 ID:O7GWOFfk0<> □FAQ <br>  <br> Q Wikipediaに書いてある事、おかしくない？ <br> A Wikipediaは誰でも編集welcome。内容がデタラメなのはよくある事です　 <br> 　 <br> Q シークレットのはずのさくらのプロフが判明してるのは何で？ <br> A 以前は公式に載っていました。グッズにも記載があるようです <br>  <br> Q 5話MCお姉さんの佐賀弁が巧すぎる <br> A.方言監修の藤野真梨亜さん。本業は役者さんです。コスプレも披露 <br>  <br> Q 5話でたえちゃんが食べてた長細いの何？ <br> A 有明海に潜む宇宙生命体WRSB(わらすぼ)。焼いてバリバリ食べます <br>  <br> なにそのゴミみたい糞ダサいTシャツ <>
風の谷の名無しさん＠実況は実況板で </b>(ﾜｯﾁｮｲ 41d5-maOp)<b><>sage<>2018/11/15(木) 22:37:06.40 ID:O7GWOFfk0<> ◆OPテーマ『徒花ネクロマンシー』歌詞＆パート　 <br> （さくら） <br> 死んでも夢を叶えたい <br> いいえ、死んでも夢は叶えられる <br> それは絶望？それとも希望？ <br> 過酷な運命乗り越えて　脈がなくても突き進む <br> それが私たちのサガだから　 <br> 　 <br> （純子） 誰が弔う 死地は彼方 <br> （さくら） 静寂を破り芽吹いた夢を <br> （愛） 誓え <br> （サキ） 穿て <br> （ゆうぎり） 重なる屍高みへ <br> （リリィ） 届くまで　 <br>  <br> （全員） 唸れ徒花 朽ち果てても進め <br> （愛） 奪わせはしない 尊厳の愚弄に <br> （リリィ） 飢餓を解き放て <br> （全員） 枯れても走ることを命と呼べ <br> （ゆうぎり） 空に叫ぶ 脱・生存の定義 <br> （さくら） 骨を斬らせて 闇を断て <br> （サキ） 雲間に光る 簒奪の勝機 <br> （純子） 覚悟を宿命に突きつけて <br> （全員） 天下に狂い咲く　 <br> （さくら） サガ <br> （全員） SAGA <br>  <br> わたしも入りたいです・・・温泉 <>
風の谷の名無しさん＠実況は実況板で </b>(ﾜｯﾁｮｲ 150c-4fLB)<b><>sage<>2018/11/15(木) 22:38:49.52 ID:3ANQrtAy0<> 最新話まであと1時間弱 <>
風の谷の名無しさん＠実況は実況板で </b>(ﾜｯﾁｮｲ 41d5-maOp)<b><>sage<>2018/11/15(木) 22:39:58.33 ID:O7GWOFfk0<> ☆佐賀マップ <br>  <br> 　　　　　ｎ_ト｡,、 <br> 　　　　 i＾呼子｀7 <br> 　　　ｒ-ｊ､ 　 　ιｨ　　 ＿＿＿,､__, - 、__ <br> 　　 く └’　唐ﾟ └ー┘　　　　　　　　　 ｀ヽ､＿　　　　 ＿_ <br> 　　　 ＼__　津　　　　　　　　　　　　　　 　 　 　 ＼　／　　} <br> 　　　　　 ﾉ　　　　　　　　　　　　　　　　　　　　　　 ^鳥栖ﾟ | <br> 　　 __　_}　　　　　　　　天山△ 　　　　　　吉野ヶ里　 　 ノ <br> 　 /　ヽﾉ　　　　　　　　　　　　　　　　　　　　　。　ﾟ　　_Y´ <br> 　ヽ　　｀＾。　　　　　　　　　。　　小城　　　神埼　ルゝ <br> 　　 ＼伊万里　　　　　　多久 　　ﾟ　　　◎ 　　ﾉ´ <br> .　　　 { ｡　　　　　 武雄　　　　　　　　　佐賀 ノ <br> 　　　 丶､有田　　　ﾟ 　　　　　　　　人　 　　｛ <br> 　　　　　 ｀¨¨⌒ｌ　　。　　　　　　_ ｒ'　　｀ヽ+､_｝ <br> 　　　　　　　　ｒ┘嬉野　 　　&lt;ｰ'　　　佐賀空港 <br> 　　　　　　　　ヽ、　　　　　｡　 } <br> 　　　　　　　　　　｀)　　　鹿島 ＾i <br> 　　　　　　　　　　　` ┐ 　 　 　 ヽ <br> 　　　　　　　　　　　　　｀丶､＿＿_ ＼ <br>  <br>  <br> ☆ドライブイン鳥CM ゾンビランドサガ版 <br> https://twi tter.com/i/status/1059762425870729216 <br>  <br> ☆アニメイトタイムズ・ゾンビランドサガ最新情報 <br> (水曜夕方：先行カット、土曜夕方：キャスト座談会、ほか) <br> https://www.animatetimes.com/tag/details.php?id=7342&amp;subids=1392 <br>  <br> ヲイコラ回避 <>
風の谷の名無しさん＠実況は実況板で </b>(ﾜｯﾁｮｲ a52d-o3Rb)<b><><>2018/11/15(木) 22:41:11.60 ID:PxtdE1bb0<> <a href="../test/read.cgi/anime/1542288546/7" rel="noopener noreferrer" target="_blank">&gt;&gt;7</a> <br> よかったい、よかったい <>
風の谷の名無しさん＠実況は実況板で </b>(ﾜｯﾁｮｲ a52d-maOp)<b><>sage<>2018/11/15(木) 22:44:27.05 ID:gJLwehlj0<> <a href="../test/read.cgi/anime/1542288546/1" rel="noopener noreferrer" target="_blank">&gt;&gt;1</a> <br> 　　　　　　　γ ´ ￣￣ ｀丶､ <br> 　　　　　　　　　　　　　　　　_＼＿＿＿_ <br> 　　　　　　　　　　　 ,.　　''&quot;　　　　　　　　 ｀ヽ <br> 　　　　　 　 　 ,.　'´　　　　　　　 ／⌒ ／　　 ＼ <br> .　　　 　 　 ／／　　　　　　　／　　　/　　　ヽ　 ) <br> 　　　　　／／　　 　 ／　　, ´　 /　 ∥　　　　',　 ＼ <br> 　　　　/ 〃　　　 ／　　　/　 　 !　　|!　　　　　',　　 丶 <br> 　　 　 { ∥　　　/　　 　 /　　　 |　/ |!　　　　　 ',　　　 ', <br> 　　　　', |　　　/　　 　 /　 　 ／| ｉ　 |　　　　 　 |　　　ハ <br> 　　　 ノ　　　./　　　　 |　　! /:　| |　　　　　　　 j　　　　 | <br> .　　 ´Τ 　 .::|　　　 　 | ／!/　　V ＜ﾌ　　 　ｒ､　　　　　| <br> 　　　　|　　 :::|　　　 　 l':::　!,,ｘ≦ﾐﾒ､｀　　　　 ラ` /　　 ﾉ <br> 　　 　 乂＿_::',　　　　 乂 　,ィ心　Vヽ　 　 斗zjノ　　 〈 <br> 　　rzzzzz､_ﾉ::∨　　 　 ヽゝ{zシ　　　)ｲ,,..ィｧ .:.:.｣　　ヽ ＼_ﾉ <br> 　　{＞''ﾆ＜ミヽ个 .,＿､　 ）､､､､　　　ｷ:ｆシ.:γ´:|　　　',￣ <br> 　　 γ//// ＞ミ､ヽ//ハﾉ　 　 　 　 ' ｉ､､､ /　 ﾉイ /　|　　　<a href="../test/read.cgi/anime/1542288546/1" rel="noopener noreferrer" target="_blank">&gt;&gt;1</a>乙です <br> 　 / {////////∧ﾐ V // ＼　⊂= 　　ｷ;: ｲ　　 　 /:l　| <br> . // |////{////∧ﾐ､∨//ハ＞ｒxzz≦､ｒ､＿,､　∠ノ ノ <br> //　∨//∧////∧ ＼＼/∧_,. ┴､//} }!//ﾊ <br> /　　 V///ﾊ /// ∧　 ＼＼∧//ハ}ノ∥///} <br> 　　　 ∨/// ＼// ∧　　 丶丶V//ﾘノﾉ////} <>
風の谷の名無しさん＠実況は実況板で </b>(ﾜｯﾁｮｲ 41d5-maOp)<b><>sage<>2018/11/15(木) 22:45:24.79 ID:O7GWOFfk0<> ◇イベント情報 <br>  <br> マチ★アソビCAFE 東京/大阪/眉山/北九州 コラボカフェ <br> 10/23（火）～11/25（日） <br> http://machiasobi.com/machiasobicafe/collabo/zls/ <br>  <br> Cygames Presents 伊万里湾大花火2018 <br> 11月17日（土） 17:30～18:00 <br> http://www.city.imari.saga.jp/14441.htm <br> https://zombielandsaga.com/news/detail.php?id=1066820 <br>  <br> ポップアップストア in AKIHABARAゲーマーズ本店 <br> 11月20日(火) ～ 12月2日(日) <br> https://zombielandsaga.com/news/detail.php?id=1066864 <br>  <br> 秋葉原スタンプラリー開催 <br> 11月20日(火)～12月2日(日) <br> https://zombielandsaga.com/news/detail.php?id=1066872 <br>  <br> カラオケアドアーズ秋葉原店コラボメニュー＆ルーム <br> 11月20日（火）～12月20日（木） <br> https://www.adores.jp/akiba-karaoke/c55_zombielandsaga.html <br>  <br> 唐津市歴史民俗資料館（洋館） 特別公開 <br> 11月25日（日） 9:00～17:00 <br> http://www.city.karatsu.lg.jp/manabee/kyoiku/kyoiku/inkai/bunkazai/bunkazaihogo/rekiminippankoukai.html <br>  <br> 規制・・・きついのねん(´・ω・｀) <>
風の谷の名無しさん＠実況は実況板で </b>(ﾜｯﾁｮｲ 3e03-I5RW)<b><>sage<>2018/11/15(木) 22:50:19.88 ID:gYs0Aylc0<> <a href="../test/read.cgi/anime/1542288546/1" rel="noopener noreferrer" target="_blank">&gt;&gt;1</a>乙 アイアンフリル「アイドルは遊びじゃない！」って言いそう <>
風の谷の名無しさん＠実況は実況板で </b>(ﾜｯﾁｮｲ 8604-v+x7)<b><>sage<>2018/11/15(木) 22:51:43.85 ID:UO3bjNdO0<> さくらはん！<a href="../test/read.cgi/anime/1542288546/1" rel="noopener noreferrer" target="_blank">&gt;&gt;1</a>乙はどうしたでありんす！ <>
風の谷の名無しさん＠実況は実況板で </b>(ﾜｯﾁｮｲ 39bc-EomN)<b><>sage<>2018/11/15(木) 22:52:04.00 ID:xWpg7KK+0<> <a href="../test/read.cgi/anime/1542288546/1" rel="noopener noreferrer" target="_blank">&gt;&gt;1</a> <br> 乙ジェンヌ <>
風の谷の名無しさん＠実況は実況板で </b>(ﾜｯﾁｮｲ 86c0-maOp)<b><>sage<>2018/11/15(木) 22:54:32.82 ID:yP2rXcwC0<> このあとすぐ <br> 23:00～　ゾンビランドサガ #6・見逃し放送 <br> 23;30～　【地上波先行】ゾンビランドサガ #7 <br> https://abema.tv/now-on-air/abema-anime <>
風の谷の名無しさん＠実況は実況板で </b>(ﾜｯﾁｮｲ 1520-PRGi)<b><>sage<>2018/11/15(木) 22:55:16.94 ID:C/KPfEUK0<> <a href="../test/read.cgi/anime/1542288546/1" rel="noopener noreferrer" target="_blank">&gt;&gt;1</a> <br> ドライブイン、おっつ♪ <>
風の谷の名無しさん＠実況は実況板で </b>(ｽｯﾌﾟ Sdea-etbu)<b><>sage<>2018/11/15(木) 22:55:18.14 ID:w49hvCVcd<> 【注意】 <br> 7話放送後ライバーは巣から出てこないこと <>
